class I
population/area	coverage	average_hit	pc90
USA NMDP Caribean Black	100.0%	14239.23	4978.54
average	100.0%	14239.23	4978.54
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Caribean Black	0	0.0	100.0
USA NMDP Caribean Black	1	0.0	100.0
USA NMDP Caribean Black	2	0.0	100.0
USA NMDP Caribean Black	3	0.0	100.0
USA NMDP Caribean Black	4	0.0	100.0
USA NMDP Caribean Black	5	0.0	100.0
USA NMDP Caribean Black	6	0.0	100.0
USA NMDP Caribean Black	7	0.0	100.0
USA NMDP Caribean Black	8	0.0	100.0
USA NMDP Caribean Black	9	0.0	100.0
USA NMDP Caribean Black	10	0.0	100.0
USA NMDP Caribean Black	11	0.0	100.0
USA NMDP Caribean Black	12	0.0	100.0
USA NMDP Caribean Black	13	0.0	100.0
USA NMDP Caribean Black	14	0.0	100.0
USA NMDP Caribean Black	15	0.0	100.0
USA NMDP Caribean Black	16	0.0	100.0
USA NMDP Caribean Black	17	0.0	100.0
USA NMDP Caribean Black	18	0.0	100.0
USA NMDP Caribean Black	19	0.0	100.0
USA NMDP Caribean Black	20	0.0	99.99
USA NMDP Caribean Black	21	0.0	99.99
USA NMDP Caribean Black	22	0.0	99.99
USA NMDP Caribean Black	23	0.0	99.99
USA NMDP Caribean Black	24	0.0	99.99
USA NMDP Caribean Black	25	0.0	99.99
USA NMDP Caribean Black	26	0.0	99.99
USA NMDP Caribean Black	27	0.0	99.99
USA NMDP Caribean Black	28	0.0	99.99
USA NMDP Caribean Black	29	0.0	99.99
USA NMDP Caribean Black	30	0.0	99.99
USA NMDP Caribean Black	31	0.0	99.99
USA NMDP Caribean Black	32	0.0	99.99
USA NMDP Caribean Black	33	0.0	99.99
USA NMDP Caribean Black	34	0.0	99.99
USA NMDP Caribean Black	35	0.0	99.99
USA NMDP Caribean Black	36	0.0	99.99
USA NMDP Caribean Black	37	0.0	99.99
USA NMDP Caribean Black	38	0.0	99.99
USA NMDP Caribean Black	39	0.0	99.99
USA NMDP Caribean Black	40	0.0	99.99
USA NMDP Caribean Black	41	0.0	99.99
USA NMDP Caribean Black	42	0.0	99.99
USA NMDP Caribean Black	43	0.0	99.98
USA NMDP Caribean Black	44	0.0	99.98
USA NMDP Caribean Black	45	0.0	99.98
USA NMDP Caribean Black	46	0.0	99.98
USA NMDP Caribean Black	47	0.0	99.98
USA NMDP Caribean Black	48	0.0	99.98
USA NMDP Caribean Black	49	0.0	99.98
USA NMDP Caribean Black	50	0.0	99.98
USA NMDP Caribean Black	51	0.0	99.98
USA NMDP Caribean Black	52	0.0	99.98
USA NMDP Caribean Black	53	0.0	99.98
USA NMDP Caribean Black	54	0.0	99.98
USA NMDP Caribean Black	55	0.0	99.98
USA NMDP Caribean Black	56	0.0	99.97
USA NMDP Caribean Black	57	0.0	99.97
USA NMDP Caribean Black	58	0.0	99.97
USA NMDP Caribean Black	59	0.0	99.97
USA NMDP Caribean Black	60	0.0	99.97
USA NMDP Caribean Black	61	0.0	99.97
USA NMDP Caribean Black	62	0.0	99.97
USA NMDP Caribean Black	63	0.0	99.97
USA NMDP Caribean Black	64	0.0	99.97
