class I
population/area	coverage	average_hit	pc90
Mexico Chihuahua Tarahumara	99.99%	14800.74	7242.19
average	99.99%	14800.74	7242.19
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Mexico Chihuahua Tarahumara	0	0.01	100.0
Mexico Chihuahua Tarahumara	1	0.0	99.99
Mexico Chihuahua Tarahumara	2	0.0	99.99
Mexico Chihuahua Tarahumara	3	0.0	99.99
Mexico Chihuahua Tarahumara	4	0.0	99.99
Mexico Chihuahua Tarahumara	5	0.0	99.99
Mexico Chihuahua Tarahumara	6	0.0	99.99
Mexico Chihuahua Tarahumara	7	0.0	99.99
Mexico Chihuahua Tarahumara	8	0.0	99.99
Mexico Chihuahua Tarahumara	9	0.0	99.99
Mexico Chihuahua Tarahumara	10	0.0	99.99
Mexico Chihuahua Tarahumara	11	0.0	99.99
Mexico Chihuahua Tarahumara	12	0.0	99.99
Mexico Chihuahua Tarahumara	13	0.0	99.99
Mexico Chihuahua Tarahumara	14	0.0	99.99
Mexico Chihuahua Tarahumara	15	0.0	99.99
Mexico Chihuahua Tarahumara	16	0.0	99.99
Mexico Chihuahua Tarahumara	17	0.0	99.99
Mexico Chihuahua Tarahumara	18	0.0	99.99
Mexico Chihuahua Tarahumara	19	0.0	99.99
Mexico Chihuahua Tarahumara	20	0.0	99.99
Mexico Chihuahua Tarahumara	21	0.0	99.99
Mexico Chihuahua Tarahumara	22	0.0	99.99
Mexico Chihuahua Tarahumara	23	0.0	99.99
Mexico Chihuahua Tarahumara	24	0.0	99.99
Mexico Chihuahua Tarahumara	25	0.0	99.99
Mexico Chihuahua Tarahumara	26	0.0	99.99
Mexico Chihuahua Tarahumara	27	0.0	99.99
Mexico Chihuahua Tarahumara	28	0.0	99.99
Mexico Chihuahua Tarahumara	29	0.0	99.99
Mexico Chihuahua Tarahumara	30	0.0	99.99
Mexico Chihuahua Tarahumara	31	0.0	99.99
Mexico Chihuahua Tarahumara	32	0.0	99.99
Mexico Chihuahua Tarahumara	33	0.0	99.99
Mexico Chihuahua Tarahumara	34	0.0	99.99
Mexico Chihuahua Tarahumara	35	0.0	99.99
Mexico Chihuahua Tarahumara	36	0.0	99.99
Mexico Chihuahua Tarahumara	37	0.0	99.99
Mexico Chihuahua Tarahumara	38	0.0	99.99
Mexico Chihuahua Tarahumara	39	0.0	99.99
Mexico Chihuahua Tarahumara	40	0.0	99.99
Mexico Chihuahua Tarahumara	41	0.0	99.99
Mexico Chihuahua Tarahumara	42	0.0	99.99
Mexico Chihuahua Tarahumara	43	0.0	99.99
Mexico Chihuahua Tarahumara	44	0.0	99.99
Mexico Chihuahua Tarahumara	45	0.0	99.99
Mexico Chihuahua Tarahumara	46	0.0	99.99
Mexico Chihuahua Tarahumara	47	0.0	99.99
Mexico Chihuahua Tarahumara	48	0.0	99.99
Mexico Chihuahua Tarahumara	49	0.0	99.99
Mexico Chihuahua Tarahumara	50	0.0	99.99
Mexico Chihuahua Tarahumara	51	0.0	99.99
Mexico Chihuahua Tarahumara	52	0.0	99.99
Mexico Chihuahua Tarahumara	53	0.0	99.99
Mexico Chihuahua Tarahumara	54	0.0	99.99
Mexico Chihuahua Tarahumara	55	0.0	99.99
Mexico Chihuahua Tarahumara	56	0.0	99.99
Mexico Chihuahua Tarahumara	57	0.0	99.99
Mexico Chihuahua Tarahumara	58	0.0	99.99
Mexico Chihuahua Tarahumara	59	0.0	99.99
Mexico Chihuahua Tarahumara	60	0.0	99.99
Mexico Chihuahua Tarahumara	61	0.0	99.99
Mexico Chihuahua Tarahumara	62	0.0	99.99
Mexico Chihuahua Tarahumara	63	0.0	99.99
Mexico Chihuahua Tarahumara	64	0.0	99.99
Mexico Chihuahua Tarahumara	65	0.0	99.99
Mexico Chihuahua Tarahumara	66	0.0	99.99
Mexico Chihuahua Tarahumara	67	0.0	99.99
Mexico Chihuahua Tarahumara	68	0.0	99.99
Mexico Chihuahua Tarahumara	69	0.0	99.99
Mexico Chihuahua Tarahumara	70	0.0	99.99
Mexico Chihuahua Tarahumara	71	0.0	99.99
Mexico Chihuahua Tarahumara	72	0.0	99.99
Mexico Chihuahua Tarahumara	73	0.0	99.99
Mexico Chihuahua Tarahumara	74	0.0	99.99
Mexico Chihuahua Tarahumara	75	0.0	99.99
Mexico Chihuahua Tarahumara	76	0.0	99.99
Mexico Chihuahua Tarahumara	77	0.0	99.99
Mexico Chihuahua Tarahumara	78	0.0	99.99
Mexico Chihuahua Tarahumara	79	0.0	99.99
Mexico Chihuahua Tarahumara	80	0.0	99.99
Mexico Chihuahua Tarahumara	81	0.0	99.99
Mexico Chihuahua Tarahumara	82	0.0	99.99
Mexico Chihuahua Tarahumara	83	0.0	99.99
Mexico Chihuahua Tarahumara	84	0.0	99.99
Mexico Chihuahua Tarahumara	85	0.0	99.99
Mexico Chihuahua Tarahumara	86	0.0	99.99
Mexico Chihuahua Tarahumara	87	0.0	99.99
Mexico Chihuahua Tarahumara	88	0.0	99.99
Mexico Chihuahua Tarahumara	89	0.0	99.99
Mexico Chihuahua Tarahumara	90	0.0	99.99
Mexico Chihuahua Tarahumara	91	0.0	99.99
Mexico Chihuahua Tarahumara	92	0.0	99.99
Mexico Chihuahua Tarahumara	93	0.0	99.99
Mexico Chihuahua Tarahumara	94	0.0	99.99
Mexico Chihuahua Tarahumara	95	0.0	99.99
Mexico Chihuahua Tarahumara	96	0.0	99.99
Mexico Chihuahua Tarahumara	97	0.0	99.99
Mexico Chihuahua Tarahumara	98	0.0	99.99
Mexico Chihuahua Tarahumara	99	0.0	99.99
Mexico Chihuahua Tarahumara	100	0.0	99.99
Mexico Chihuahua Tarahumara	101	0.0	99.99
Mexico Chihuahua Tarahumara	102	0.0	99.99
Mexico Chihuahua Tarahumara	103	0.0	99.99
Mexico Chihuahua Tarahumara	104	0.0	99.99
Mexico Chihuahua Tarahumara	105	0.0	99.99
Mexico Chihuahua Tarahumara	106	0.0	99.99
Mexico Chihuahua Tarahumara	107	0.0	99.99
Mexico Chihuahua Tarahumara	108	0.0	99.99
Mexico Chihuahua Tarahumara	109	0.0	99.99
Mexico Chihuahua Tarahumara	110	0.0	99.99
Mexico Chihuahua Tarahumara	111	0.0	99.99
Mexico Chihuahua Tarahumara	112	0.0	99.99
Mexico Chihuahua Tarahumara	113	0.0	99.99
Mexico Chihuahua Tarahumara	114	0.0	99.99
Mexico Chihuahua Tarahumara	115	0.0	99.99
Mexico Chihuahua Tarahumara	116	0.0	99.99
Mexico Chihuahua Tarahumara	117	0.0	99.99
Mexico Chihuahua Tarahumara	118	0.0	99.99
Mexico Chihuahua Tarahumara	119	0.0	99.99
Mexico Chihuahua Tarahumara	120	0.0	99.99
Mexico Chihuahua Tarahumara	121	0.0	99.99
Mexico Chihuahua Tarahumara	122	0.0	99.99
Mexico Chihuahua Tarahumara	123	0.0	99.99
Mexico Chihuahua Tarahumara	124	0.0	99.99
Mexico Chihuahua Tarahumara	125	0.0	99.99
Mexico Chihuahua Tarahumara	126	0.0	99.99
Mexico Chihuahua Tarahumara	127	0.0	99.99
Mexico Chihuahua Tarahumara	128	0.0	99.99
Mexico Chihuahua Tarahumara	129	0.0	99.99
Mexico Chihuahua Tarahumara	130	0.0	99.99
Mexico Chihuahua Tarahumara	131	0.0	99.99
Mexico Chihuahua Tarahumara	132	0.0	99.99
Mexico Chihuahua Tarahumara	133	0.0	99.99
Mexico Chihuahua Tarahumara	134	0.0	99.99
Mexico Chihuahua Tarahumara	135	0.0	99.99
