class I
population/area	coverage	average_hit	pc90
France Southeast	100.0%	20718.65	10080.87
average	100.0%	20718.65	10080.87
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
France Southeast	0	0.0	100.0
France Southeast	1	0.0	100.0
France Southeast	2	0.0	100.0
France Southeast	3	0.0	100.0
France Southeast	4	0.0	100.0
France Southeast	5	0.0	100.0
France Southeast	6	0.0	100.0
France Southeast	7	0.0	100.0
France Southeast	8	0.0	100.0
France Southeast	9	0.0	100.0
France Southeast	10	0.0	100.0
France Southeast	11	0.0	100.0
France Southeast	12	0.0	100.0
France Southeast	13	0.0	100.0
France Southeast	14	0.0	100.0
France Southeast	15	0.0	100.0
France Southeast	16	0.0	100.0
France Southeast	17	0.0	100.0
France Southeast	18	0.0	100.0
France Southeast	19	0.0	100.0
France Southeast	20	0.0	100.0
France Southeast	21	0.0	100.0
France Southeast	22	0.0	100.0
France Southeast	23	0.0	100.0
France Southeast	24	0.0	100.0
France Southeast	25	0.0	100.0
France Southeast	26	0.0	100.0
France Southeast	27	0.0	100.0
France Southeast	28	0.0	100.0
France Southeast	29	0.0	100.0
France Southeast	30	0.0	100.0
France Southeast	31	0.0	100.0
France Southeast	32	0.0	100.0
France Southeast	33	0.0	100.0
France Southeast	34	0.0	100.0
France Southeast	35	0.0	100.0
France Southeast	36	0.0	100.0
France Southeast	37	0.0	100.0
France Southeast	38	0.0	100.0
France Southeast	39	0.0	100.0
France Southeast	40	0.0	100.0
France Southeast	41	0.0	100.0
France Southeast	42	0.0	100.0
France Southeast	43	0.0	100.0
France Southeast	44	0.0	100.0
France Southeast	45	0.0	100.0
France Southeast	46	0.0	100.0
France Southeast	47	0.0	100.0
France Southeast	48	0.0	100.0
France Southeast	49	0.0	100.0
France Southeast	50	0.0	100.0
France Southeast	51	0.0	100.0
France Southeast	52	0.0	100.0
France Southeast	53	0.0	100.0
France Southeast	54	0.0	100.0
France Southeast	55	0.0	100.0
France Southeast	56	0.0	100.0
France Southeast	57	0.0	100.0
France Southeast	58	0.0	100.0
France Southeast	59	0.0	100.0
France Southeast	60	0.0	100.0
France Southeast	61	0.0	100.0
France Southeast	62	0.0	100.0
France Southeast	63	0.0	100.0
France Southeast	64	0.0	100.0
France Southeast	65	0.0	100.0
France Southeast	66	0.0	100.0
France Southeast	67	0.0	100.0
France Southeast	68	0.0	100.0
France Southeast	69	0.0	100.0
France Southeast	70	0.0	100.0
France Southeast	71	0.0	100.0
France Southeast	72	0.0	100.0
France Southeast	73	0.0	100.0
France Southeast	74	0.0	100.0
France Southeast	75	0.0	100.0
France Southeast	76	0.0	100.0
France Southeast	77	0.0	100.0
France Southeast	78	0.0	100.0
France Southeast	79	0.0	100.0
France Southeast	80	0.0	100.0
France Southeast	81	0.0	100.0
France Southeast	82	0.0	100.0
France Southeast	83	0.0	100.0
France Southeast	84	0.0	100.0
France Southeast	85	0.0	100.0
France Southeast	86	0.0	100.0
France Southeast	87	0.0	100.0
France Southeast	88	0.0	100.0
France Southeast	89	0.0	100.0
France Southeast	90	0.0	100.0
France Southeast	91	0.0	100.0
France Southeast	92	0.0	100.0
France Southeast	93	0.0	100.0
France Southeast	94	0.0	100.0
France Southeast	95	0.0	100.0
France Southeast	96	0.0	100.0
France Southeast	97	0.0	100.0
France Southeast	98	0.0	100.0
France Southeast	99	0.0	100.0
France Southeast	100	0.0	100.0
France Southeast	101	0.0	100.0
France Southeast	102	0.0	100.0
France Southeast	103	0.0	100.0
France Southeast	104	0.0	100.0
France Southeast	105	0.0	100.0
France Southeast	106	0.0	100.0
France Southeast	107	0.0	100.0
France Southeast	108	0.0	100.0
France Southeast	109	0.0	100.0
France Southeast	110	0.0	100.0
France Southeast	111	0.0	100.0
France Southeast	112	0.0	100.0
France Southeast	113	0.0	100.0
France Southeast	114	0.0	100.0
France Southeast	115	0.0	100.0
France Southeast	116	0.0	100.0
France Southeast	117	0.0	100.0
France Southeast	118	0.0	100.0
France Southeast	119	0.0	100.0
France Southeast	120	0.0	100.0
France Southeast	121	0.0	100.0
France Southeast	122	0.0	100.0
France Southeast	123	0.0	100.0
France Southeast	124	0.0	100.0
France Southeast	125	0.0	100.0
France Southeast	126	0.0	100.0
France Southeast	127	0.0	100.0
France Southeast	128	0.0	100.0
France Southeast	129	0.0	100.0
France Southeast	130	0.0	100.0
France Southeast	131	0.0	100.0
France Southeast	132	0.0	100.0
France Southeast	133	0.0	100.0
France Southeast	134	0.0	100.0
France Southeast	135	0.0	100.0
France Southeast	136	0.0	100.0
France Southeast	137	0.0	100.0
France Southeast	138	0.0	100.0
France Southeast	139	0.0	100.0
France Southeast	140	0.0	100.0
France Southeast	141	0.0	100.0
France Southeast	142	0.0	100.0
France Southeast	143	0.0	100.0
France Southeast	144	0.0	100.0
France Southeast	145	0.0	100.0
France Southeast	146	0.0	100.0
France Southeast	147	0.0	100.0
France Southeast	148	0.0	100.0
France Southeast	149	0.0	100.0
France Southeast	150	0.0	100.0
France Southeast	151	0.0	100.0
France Southeast	152	0.0	100.0
France Southeast	153	0.0	100.0
France Southeast	154	0.0	100.0
France Southeast	155	0.0	100.0
France Southeast	156	0.0	100.0
France Southeast	157	0.0	100.0
France Southeast	158	0.0	100.0
France Southeast	159	0.0	100.0
France Southeast	160	0.0	100.0
France Southeast	161	0.0	100.0
France Southeast	162	0.0	100.0
France Southeast	163	0.0	100.0
France Southeast	164	0.0	100.0
France Southeast	165	0.0	100.0
France Southeast	166	0.0	100.0
France Southeast	167	0.0	100.0
France Southeast	168	0.0	100.0
France Southeast	169	0.0	100.0
France Southeast	170	0.0	100.0
France Southeast	171	0.0	100.0
France Southeast	172	0.0	100.0
France Southeast	173	0.0	100.0
France Southeast	174	0.0	100.0
France Southeast	175	0.0	100.0
France Southeast	176	0.0	100.0
France Southeast	177	0.0	100.0
France Southeast	178	0.0	100.0
France Southeast	179	0.0	100.0
France Southeast	180	0.0	100.0
France Southeast	181	0.0	100.0
France Southeast	182	0.0	100.0
France Southeast	183	0.0	100.0
France Southeast	184	0.0	100.0
France Southeast	185	0.0	100.0
France Southeast	186	0.0	100.0
France Southeast	187	0.0	100.0
France Southeast	188	0.0	100.0
France Southeast	189	0.0	100.0
France Southeast	190	0.0	100.0
France Southeast	191	0.0	100.0
France Southeast	192	0.0	100.0
France Southeast	193	0.0	100.0
France Southeast	194	0.0	100.0
France Southeast	195	0.0	100.0
France Southeast	196	0.0	100.0
France Southeast	197	0.0	100.0
France Southeast	198	0.0	100.0
France Southeast	199	0.0	100.0
France Southeast	200	0.0	100.0
France Southeast	201	0.0	100.0
France Southeast	202	0.0	100.0
France Southeast	203	0.0	100.0
France Southeast	204	0.0	100.0
France Southeast	205	0.0	100.0
France Southeast	206	0.0	100.0
France Southeast	207	0.0	100.0
France Southeast	208	0.0	100.0
France Southeast	209	0.0	100.0
France Southeast	210	0.0	100.0
France Southeast	211	0.0	100.0
France Southeast	212	0.0	100.0
France Southeast	213	0.0	100.0
France Southeast	214	0.0	100.0
France Southeast	215	0.0	100.0
France Southeast	216	0.0	100.0
France Southeast	217	0.0	100.0
France Southeast	218	0.0	100.0
France Southeast	219	0.0	100.0
France Southeast	220	0.0	100.0
France Southeast	221	0.0	100.0
France Southeast	222	0.0	100.0
France Southeast	223	0.0	100.0
France Southeast	224	0.0	100.0
France Southeast	225	0.0	100.0
France Southeast	226	0.0	100.0
France Southeast	227	0.0	100.0
France Southeast	228	0.0	100.0
France Southeast	229	0.0	100.0
France Southeast	230	0.0	100.0
France Southeast	231	0.0	100.0
France Southeast	232	0.0	100.0
France Southeast	233	0.0	100.0
France Southeast	234	0.0	100.0
France Southeast	235	0.0	100.0
France Southeast	236	0.0	100.0
France Southeast	237	0.0	100.0
France Southeast	238	0.0	100.0
France Southeast	239	0.0	100.0
France Southeast	240	0.0	100.0
France Southeast	241	0.0	100.0
France Southeast	242	0.0	100.0
France Southeast	243	0.0	100.0
France Southeast	244	0.0	100.0
France Southeast	245	0.0	100.0
France Southeast	246	0.0	100.0
France Southeast	247	0.0	100.0
France Southeast	248	0.0	100.0
France Southeast	249	0.0	100.0
France Southeast	250	0.0	100.0
France Southeast	251	0.0	100.0
France Southeast	252	0.0	100.0
France Southeast	253	0.0	100.0
France Southeast	254	0.0	100.0
France Southeast	255	0.0	100.0
France Southeast	256	0.0	100.0
France Southeast	257	0.0	100.0
France Southeast	258	0.0	100.0
France Southeast	259	0.0	100.0
France Southeast	260	0.0	100.0
France Southeast	261	0.0	100.0
France Southeast	262	0.0	100.0
France Southeast	263	0.0	100.0
France Southeast	264	0.0	100.0
France Southeast	265	0.0	100.0
France Southeast	266	0.0	100.0
France Southeast	267	0.0	100.0
France Southeast	268	0.0	100.0
France Southeast	269	0.0	100.0
France Southeast	270	0.0	100.0
France Southeast	271	0.0	100.0
France Southeast	272	0.0	100.0
France Southeast	273	0.0	100.0
France Southeast	274	0.0	100.0
France Southeast	275	0.0	100.0
France Southeast	276	0.0	100.0
France Southeast	277	0.0	100.0
France Southeast	278	0.0	100.0
France Southeast	279	0.0	100.0
France Southeast	280	0.0	100.0
France Southeast	281	0.0	100.0
France Southeast	282	0.0	100.0
France Southeast	283	0.0	100.0
France Southeast	284	0.0	100.0
France Southeast	285	0.0	100.0
France Southeast	286	0.0	100.0
France Southeast	287	0.0	100.0
France Southeast	288	0.0	100.0
France Southeast	289	0.0	100.0
France Southeast	290	0.0	100.0
France Southeast	291	0.0	100.0
France Southeast	292	0.0	100.0
France Southeast	293	0.0	100.0
France Southeast	294	0.0	100.0
France Southeast	295	0.0	100.0
France Southeast	296	0.0	100.0
France Southeast	297	0.0	100.0
France Southeast	298	0.0	100.0
France Southeast	299	0.0	100.0
France Southeast	300	0.0	100.0
France Southeast	301	0.0	100.0
France Southeast	302	0.0	100.0
France Southeast	303	0.0	100.0
France Southeast	304	0.0	100.0
France Southeast	305	0.0	100.0
France Southeast	306	0.0	100.0
France Southeast	307	0.0	100.0
France Southeast	308	0.0	100.0
France Southeast	309	0.0	100.0
France Southeast	310	0.0	100.0
France Southeast	311	0.0	100.0
France Southeast	312	0.0	100.0
France Southeast	313	0.0	100.0
France Southeast	314	0.0	100.0
France Southeast	315	0.0	100.0
France Southeast	316	0.0	100.0
France Southeast	317	0.0	100.0
France Southeast	318	0.0	100.0
France Southeast	319	0.0	100.0
France Southeast	320	0.0	100.0
France Southeast	321	0.0	100.0
France Southeast	322	0.0	100.0
France Southeast	323	0.0	100.0
France Southeast	324	0.0	100.0
France Southeast	325	0.0	100.0
France Southeast	326	0.0	100.0
France Southeast	327	0.0	100.0
France Southeast	328	0.0	100.0
France Southeast	329	0.0	100.0
