class I
population/area	coverage	average_hit	pc90
Bulgaria Romani	100.0%	13602.79	6520.08
average	100.0%	13602.79	6520.08
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Bulgaria Romani	0	0.0	100.0
Bulgaria Romani	1	0.0	100.0
Bulgaria Romani	2	0.0	100.0
Bulgaria Romani	3	0.0	100.0
Bulgaria Romani	4	0.0	100.0
Bulgaria Romani	5	0.0	100.0
Bulgaria Romani	6	0.0	100.0
Bulgaria Romani	7	0.0	100.0
Bulgaria Romani	8	0.0	100.0
Bulgaria Romani	9	0.0	100.0
Bulgaria Romani	10	0.0	100.0
Bulgaria Romani	11	0.0	100.0
Bulgaria Romani	12	0.0	100.0
Bulgaria Romani	13	0.0	100.0
Bulgaria Romani	14	0.0	100.0
Bulgaria Romani	15	0.0	100.0
Bulgaria Romani	16	0.0	100.0
Bulgaria Romani	17	0.0	100.0
Bulgaria Romani	18	0.0	100.0
Bulgaria Romani	19	0.0	100.0
Bulgaria Romani	20	0.0	100.0
Bulgaria Romani	21	0.0	100.0
Bulgaria Romani	22	0.0	100.0
Bulgaria Romani	23	0.0	100.0
Bulgaria Romani	24	0.0	100.0
Bulgaria Romani	25	0.0	100.0
Bulgaria Romani	26	0.0	100.0
Bulgaria Romani	27	0.0	100.0
Bulgaria Romani	28	0.0	100.0
Bulgaria Romani	29	0.0	100.0
Bulgaria Romani	30	0.0	100.0
Bulgaria Romani	31	0.0	100.0
Bulgaria Romani	32	0.0	100.0
Bulgaria Romani	33	0.0	100.0
Bulgaria Romani	34	0.0	100.0
Bulgaria Romani	35	0.0	100.0
Bulgaria Romani	36	0.0	100.0
Bulgaria Romani	37	0.0	100.0
Bulgaria Romani	38	0.0	100.0
Bulgaria Romani	39	0.0	100.0
Bulgaria Romani	40	0.0	100.0
Bulgaria Romani	41	0.0	100.0
Bulgaria Romani	42	0.0	100.0
Bulgaria Romani	43	0.0	100.0
Bulgaria Romani	44	0.0	100.0
Bulgaria Romani	45	0.0	100.0
Bulgaria Romani	46	0.0	100.0
Bulgaria Romani	47	0.0	100.0
Bulgaria Romani	48	0.0	100.0
Bulgaria Romani	49	0.0	100.0
Bulgaria Romani	50	0.0	100.0
