class I
population/area	coverage	average_hit	pc90
Taiwan Bunun	100.0%	9993.87	4459.83
average	100.0%	9993.87	4459.83
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Bunun	0	0.0	100.0
Taiwan Bunun	1	0.0	100.0
Taiwan Bunun	2	0.0	100.0
Taiwan Bunun	3	0.0	100.0
Taiwan Bunun	4	0.0	100.0
Taiwan Bunun	5	0.0	100.0
Taiwan Bunun	6	0.0	100.0
Taiwan Bunun	7	0.0	100.0
Taiwan Bunun	8	0.0	100.0
Taiwan Bunun	9	0.0	100.0
Taiwan Bunun	10	0.0	100.0
Taiwan Bunun	11	0.0	100.0
Taiwan Bunun	12	0.0	100.0
Taiwan Bunun	13	0.0	100.0
Taiwan Bunun	14	0.0	100.0
Taiwan Bunun	15	0.0	100.0
Taiwan Bunun	16	0.0	100.0
Taiwan Bunun	17	0.0	100.0
Taiwan Bunun	18	0.0	100.0
Taiwan Bunun	19	0.0	100.0
Taiwan Bunun	20	0.0	100.0
Taiwan Bunun	21	0.0	100.0
Taiwan Bunun	22	0.0	100.0
Taiwan Bunun	23	0.0	100.0
Taiwan Bunun	24	0.0	100.0
Taiwan Bunun	25	0.0	100.0
Taiwan Bunun	26	0.0	100.0
Taiwan Bunun	27	0.0	100.0
Taiwan Bunun	28	0.0	100.0
Taiwan Bunun	29	0.0	100.0
Taiwan Bunun	30	0.0	100.0
Taiwan Bunun	31	0.0	100.0
Taiwan Bunun	32	0.0	100.0
Taiwan Bunun	33	0.0	100.0
Taiwan Bunun	34	0.0	100.0
Taiwan Bunun	35	0.0	100.0
Taiwan Bunun	36	0.0	100.0
Taiwan Bunun	37	0.0	100.0
Taiwan Bunun	38	0.0	100.0
Taiwan Bunun	39	0.0	100.0
Taiwan Bunun	40	0.0	100.0
Taiwan Bunun	41	0.0	100.0
Taiwan Bunun	42	0.0	100.0
Taiwan Bunun	43	0.0	100.0
Taiwan Bunun	44	0.0	100.0
Taiwan Bunun	45	0.0	100.0
Taiwan Bunun	46	0.0	100.0
Taiwan Bunun	47	0.0	100.0
Taiwan Bunun	48	0.0	100.0
Taiwan Bunun	49	0.0	100.0
Taiwan Bunun	50	0.0	100.0
Taiwan Bunun	51	0.0	100.0
Taiwan Bunun	52	0.0	100.0
Taiwan Bunun	53	0.0	100.0
Taiwan Bunun	54	0.0	100.0
Taiwan Bunun	55	0.0	100.0
Taiwan Bunun	56	0.0	100.0
Taiwan Bunun	57	0.0	100.0
Taiwan Bunun	58	0.0	100.0
Taiwan Bunun	59	0.0	100.0
Taiwan Bunun	60	0.0	100.0
Taiwan Bunun	61	0.0	100.0
Taiwan Bunun	62	0.0	100.0
Taiwan Bunun	63	0.0	100.0
Taiwan Bunun	64	0.0	100.0
Taiwan Bunun	65	0.0	100.0
Taiwan Bunun	66	0.0	100.0
Taiwan Bunun	67	0.0	100.0
Taiwan Bunun	68	0.0	100.0
Taiwan Bunun	69	0.0	100.0
Taiwan Bunun	70	0.0	100.0
Taiwan Bunun	71	0.0	100.0
Taiwan Bunun	72	0.0	100.0
Taiwan Bunun	73	0.0	100.0
Taiwan Bunun	74	0.0	100.0
Taiwan Bunun	75	0.0	100.0
Taiwan Bunun	76	0.0	100.0
Taiwan Bunun	77	0.0	100.0
Taiwan Bunun	78	0.0	100.0
Taiwan Bunun	79	0.0	100.0
Taiwan Bunun	80	0.0	100.0
Taiwan Bunun	81	0.0	100.0
Taiwan Bunun	82	0.0	100.0
Taiwan Bunun	83	0.0	100.0
Taiwan Bunun	84	0.0	100.0
Taiwan Bunun	85	0.0	100.0
Taiwan Bunun	86	0.0	100.0
Taiwan Bunun	87	0.0	100.0
Taiwan Bunun	88	0.0	100.0
Taiwan Bunun	89	0.0	100.0
Taiwan Bunun	90	0.0	100.0
Taiwan Bunun	91	0.0	100.0
Taiwan Bunun	92	0.0	100.0
Taiwan Bunun	93	0.0	100.0
Taiwan Bunun	94	0.0	100.0
Taiwan Bunun	95	0.0	100.0
Taiwan Bunun	96	0.0	100.0
Taiwan Bunun	97	0.0	100.0
Taiwan Bunun	98	0.0	100.0
Taiwan Bunun	99	0.0	100.0
Taiwan Bunun	100	0.0	100.0
Taiwan Bunun	101	0.0	100.0
Taiwan Bunun	102	0.0	100.0
Taiwan Bunun	103	0.0	100.0
Taiwan Bunun	104	0.0	100.0
Taiwan Bunun	105	0.0	100.0
Taiwan Bunun	106	0.0	100.0
Taiwan Bunun	107	0.0	100.0
Taiwan Bunun	108	0.0	100.0
Taiwan Bunun	109	0.0	100.0
Taiwan Bunun	110	0.0	100.0
Taiwan Bunun	111	0.0	100.0
Taiwan Bunun	112	0.0	100.0
Taiwan Bunun	113	0.0	100.0
Taiwan Bunun	114	0.0	100.0
Taiwan Bunun	115	0.0	100.0
Taiwan Bunun	116	0.0	100.0
Taiwan Bunun	117	0.0	100.0
Taiwan Bunun	118	0.0	100.0
Taiwan Bunun	119	0.0	100.0
Taiwan Bunun	120	0.0	100.0
Taiwan Bunun	121	0.0	100.0
Taiwan Bunun	122	0.0	100.0
Taiwan Bunun	123	0.0	100.0
Taiwan Bunun	124	0.0	100.0
Taiwan Bunun	125	0.0	100.0
Taiwan Bunun	126	0.0	100.0
Taiwan Bunun	127	0.0	100.0
Taiwan Bunun	128	0.0	100.0
Taiwan Bunun	129	0.0	100.0
Taiwan Bunun	130	0.0	100.0
Taiwan Bunun	131	0.0	100.0
Taiwan Bunun	132	0.0	100.0
Taiwan Bunun	133	0.0	100.0
Taiwan Bunun	134	0.0	100.0
Taiwan Bunun	135	0.0	100.0
Taiwan Bunun	136	0.0	100.0
Taiwan Bunun	137	0.0	100.0
Taiwan Bunun	138	0.0	100.0
Taiwan Bunun	139	0.0	100.0
Taiwan Bunun	140	0.0	100.0
Taiwan Bunun	141	0.0	100.0
Taiwan Bunun	142	0.0	100.0
Taiwan Bunun	143	0.0	100.0
Taiwan Bunun	144	0.0	100.0
Taiwan Bunun	145	0.0	100.0
Taiwan Bunun	146	0.0	100.0
Taiwan Bunun	147	0.0	100.0
Taiwan Bunun	148	0.0	100.0
Taiwan Bunun	149	0.0	100.0
Taiwan Bunun	150	0.0	100.0
Taiwan Bunun	151	0.0	100.0
Taiwan Bunun	152	0.0	100.0
Taiwan Bunun	153	0.0	100.0
Taiwan Bunun	154	0.0	100.0
Taiwan Bunun	155	0.0	100.0
Taiwan Bunun	156	0.0	100.0
Taiwan Bunun	157	0.0	100.0
Taiwan Bunun	158	0.0	100.0
Taiwan Bunun	159	0.0	100.0
Taiwan Bunun	160	0.0	100.0
Taiwan Bunun	161	0.0	100.0
Taiwan Bunun	162	0.0	100.0
Taiwan Bunun	163	0.0	100.0
Taiwan Bunun	164	0.0	100.0
Taiwan Bunun	165	0.0	100.0
Taiwan Bunun	166	0.0	100.0
Taiwan Bunun	167	0.0	100.0
Taiwan Bunun	168	0.0	100.0
Taiwan Bunun	169	0.0	100.0
Taiwan Bunun	170	0.0	100.0
Taiwan Bunun	171	0.0	100.0
Taiwan Bunun	172	0.0	100.0
Taiwan Bunun	173	0.0	100.0
Taiwan Bunun	174	0.0	100.0
Taiwan Bunun	175	0.0	100.0
Taiwan Bunun	176	0.0	100.0
Taiwan Bunun	177	0.0	100.0
Taiwan Bunun	178	0.0	100.0
Taiwan Bunun	179	0.0	100.0
Taiwan Bunun	180	0.0	100.0
Taiwan Bunun	181	0.0	100.0
Taiwan Bunun	182	0.0	100.0
Taiwan Bunun	183	0.0	100.0
Taiwan Bunun	184	0.0	100.0
Taiwan Bunun	185	0.0	100.0
Taiwan Bunun	186	0.0	100.0
Taiwan Bunun	187	0.0	100.0
Taiwan Bunun	188	0.0	100.0
Taiwan Bunun	189	0.0	100.0
Taiwan Bunun	190	0.0	100.0
Taiwan Bunun	191	0.0	100.0
Taiwan Bunun	192	0.0	100.0
Taiwan Bunun	193	0.0	100.0
Taiwan Bunun	194	0.0	100.0
Taiwan Bunun	195	0.0	100.0
Taiwan Bunun	196	0.0	100.0
Taiwan Bunun	197	0.0	100.0
Taiwan Bunun	198	0.0	100.0
Taiwan Bunun	199	0.0	100.0
Taiwan Bunun	200	0.0	100.0
Taiwan Bunun	201	0.0	100.0
Taiwan Bunun	202	0.0	100.0
Taiwan Bunun	203	0.0	100.0
Taiwan Bunun	204	0.0	100.0
Taiwan Bunun	205	0.0	100.0
Taiwan Bunun	206	0.0	100.0
Taiwan Bunun	207	0.0	100.0
Taiwan Bunun	208	0.0	100.0
Taiwan Bunun	209	0.0	100.0
Taiwan Bunun	210	0.0	100.0
Taiwan Bunun	211	0.0	100.0
Taiwan Bunun	212	0.0	100.0
Taiwan Bunun	213	0.0	100.0
Taiwan Bunun	214	0.0	100.0
Taiwan Bunun	215	0.0	100.0
Taiwan Bunun	216	0.0	100.0
Taiwan Bunun	217	0.0	100.0
Taiwan Bunun	218	0.0	100.0
Taiwan Bunun	219	0.0	100.0
Taiwan Bunun	220	0.0	100.0
Taiwan Bunun	221	0.0	100.0
Taiwan Bunun	222	0.0	100.0
Taiwan Bunun	223	0.0	100.0
Taiwan Bunun	224	0.0	100.0
Taiwan Bunun	225	0.0	100.0
Taiwan Bunun	226	0.0	100.0
Taiwan Bunun	227	0.0	100.0
Taiwan Bunun	228	0.0	100.0
Taiwan Bunun	229	0.0	100.0
Taiwan Bunun	230	0.0	100.0
Taiwan Bunun	231	0.0	100.0
Taiwan Bunun	232	0.0	100.0
Taiwan Bunun	233	0.0	100.0
Taiwan Bunun	234	0.0	100.0
Taiwan Bunun	235	0.0	100.0
Taiwan Bunun	236	0.0	100.0
Taiwan Bunun	237	0.0	100.0
Taiwan Bunun	238	0.0	100.0
Taiwan Bunun	239	0.0	100.0
Taiwan Bunun	240	0.0	100.0
Taiwan Bunun	241	0.0	100.0
Taiwan Bunun	242	0.0	100.0
Taiwan Bunun	243	0.0	100.0
Taiwan Bunun	244	0.0	100.0
Taiwan Bunun	245	0.0	100.0
Taiwan Bunun	246	0.0	100.0
Taiwan Bunun	247	0.0	100.0
Taiwan Bunun	248	0.0	100.0
Taiwan Bunun	249	0.0	100.0
Taiwan Bunun	250	0.0	100.0
Taiwan Bunun	251	0.0	100.0
Taiwan Bunun	252	0.0	100.0
Taiwan Bunun	253	0.0	100.0
Taiwan Bunun	254	0.0	100.0
Taiwan Bunun	255	0.0	100.0
Taiwan Bunun	256	0.0	100.0
Taiwan Bunun	257	0.0	100.0
Taiwan Bunun	258	0.0	100.0
Taiwan Bunun	259	0.0	100.0
Taiwan Bunun	260	0.0	100.0
Taiwan Bunun	261	0.0	100.0
Taiwan Bunun	262	0.0	100.0
Taiwan Bunun	263	0.0	100.0
Taiwan Bunun	264	0.0	100.0
Taiwan Bunun	265	0.0	100.0
Taiwan Bunun	266	0.0	100.0
Taiwan Bunun	267	0.0	100.0
Taiwan Bunun	268	0.0	100.0
Taiwan Bunun	269	0.0	100.0
Taiwan Bunun	270	0.0	100.0
Taiwan Bunun	271	0.0	100.0
Taiwan Bunun	272	0.0	100.0
Taiwan Bunun	273	0.0	100.0
Taiwan Bunun	274	0.0	100.0
Taiwan Bunun	275	0.0	100.0
Taiwan Bunun	276	0.0	100.0
Taiwan Bunun	277	0.0	100.0
Taiwan Bunun	278	0.0	100.0
Taiwan Bunun	279	0.0	100.0
Taiwan Bunun	280	0.0	100.0
Taiwan Bunun	281	0.0	100.0
Taiwan Bunun	282	0.0	100.0
Taiwan Bunun	283	0.0	100.0
Taiwan Bunun	284	0.0	100.0
Taiwan Bunun	285	0.0	100.0
Taiwan Bunun	286	0.0	100.0
Taiwan Bunun	287	0.0	100.0
Taiwan Bunun	288	0.0	100.0
Taiwan Bunun	289	0.0	100.0
Taiwan Bunun	290	0.0	100.0
Taiwan Bunun	291	0.0	100.0
Taiwan Bunun	292	0.0	100.0
Taiwan Bunun	293	0.0	100.0
Taiwan Bunun	294	0.0	100.0
Taiwan Bunun	295	0.0	100.0
Taiwan Bunun	296	0.0	100.0
Taiwan Bunun	297	0.0	100.0
Taiwan Bunun	298	0.0	100.0
Taiwan Bunun	299	0.0	100.0
Taiwan Bunun	300	0.0	100.0
Taiwan Bunun	301	0.0	100.0
Taiwan Bunun	302	0.0	100.0
Taiwan Bunun	303	0.0	100.0
Taiwan Bunun	304	0.0	100.0
Taiwan Bunun	305	0.0	100.0
Taiwan Bunun	306	0.0	100.0
Taiwan Bunun	307	0.0	100.0
Taiwan Bunun	308	0.0	100.0
Taiwan Bunun	309	0.0	100.0
Taiwan Bunun	310	0.0	100.0
Taiwan Bunun	311	0.0	100.0
Taiwan Bunun	312	0.0	100.0
Taiwan Bunun	313	0.0	100.0
Taiwan Bunun	314	0.0	100.0
Taiwan Bunun	315	0.0	100.0
Taiwan Bunun	316	0.0	100.0
Taiwan Bunun	317	0.0	100.0
Taiwan Bunun	318	0.0	100.0
Taiwan Bunun	319	0.0	100.0
Taiwan Bunun	320	0.0	100.0
Taiwan Bunun	321	0.0	100.0
Taiwan Bunun	322	0.0	100.0
Taiwan Bunun	323	0.0	100.0
Taiwan Bunun	324	0.0	100.0
Taiwan Bunun	325	0.0	100.0
Taiwan Bunun	326	0.0	100.0
Taiwan Bunun	327	0.0	100.0
Taiwan Bunun	328	0.0	100.0
Taiwan Bunun	329	0.0	100.0
Taiwan Bunun	330	0.0	100.0
Taiwan Bunun	331	0.0	100.0
Taiwan Bunun	332	0.0	100.0
Taiwan Bunun	333	0.0	100.0
Taiwan Bunun	334	0.0	100.0
Taiwan Bunun	335	0.0	100.0
Taiwan Bunun	336	0.0	100.0
Taiwan Bunun	337	0.0	100.0
Taiwan Bunun	338	0.0	100.0
Taiwan Bunun	339	0.0	100.0
Taiwan Bunun	340	0.0	100.0
Taiwan Bunun	341	0.0	100.0
Taiwan Bunun	342	0.0	100.0
Taiwan Bunun	343	0.0	100.0
Taiwan Bunun	344	0.0	100.0
Taiwan Bunun	345	0.0	100.0
Taiwan Bunun	346	0.0	100.0
Taiwan Bunun	347	0.0	100.0
Taiwan Bunun	348	0.0	100.0
Taiwan Bunun	349	0.0	100.0
Taiwan Bunun	350	0.0	100.0
Taiwan Bunun	351	0.0	100.0
Taiwan Bunun	352	0.0	100.0
Taiwan Bunun	353	0.0	100.0
Taiwan Bunun	354	0.0	100.0
Taiwan Bunun	355	0.0	100.0
Taiwan Bunun	356	0.0	100.0
Taiwan Bunun	357	0.0	100.0
Taiwan Bunun	358	0.0	100.0
Taiwan Bunun	359	0.0	100.0
Taiwan Bunun	360	0.0	100.0
Taiwan Bunun	361	0.0	100.0
Taiwan Bunun	362	0.0	100.0
Taiwan Bunun	363	0.0	100.0
Taiwan Bunun	364	0.0	100.0
