class I
population/area	coverage	average_hit	pc90
USA NMDP Japanese	100.0%	25541.53	12610.92
average	100.0%	25541.53	12610.92
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Japanese	0	0.0	100.0
USA NMDP Japanese	1	0.0	100.0
USA NMDP Japanese	2	0.0	100.0
USA NMDP Japanese	3	0.0	100.0
USA NMDP Japanese	4	0.0	100.0
USA NMDP Japanese	5	0.0	100.0
USA NMDP Japanese	6	0.0	100.0
USA NMDP Japanese	7	0.0	100.0
USA NMDP Japanese	8	0.0	100.0
USA NMDP Japanese	9	0.0	100.0
USA NMDP Japanese	10	0.0	100.0
USA NMDP Japanese	11	0.0	100.0
USA NMDP Japanese	12	0.0	100.0
USA NMDP Japanese	13	0.0	100.0
USA NMDP Japanese	14	0.0	100.0
USA NMDP Japanese	15	0.0	100.0
USA NMDP Japanese	16	0.0	100.0
USA NMDP Japanese	17	0.0	100.0
USA NMDP Japanese	18	0.0	100.0
USA NMDP Japanese	19	0.0	100.0
USA NMDP Japanese	20	0.0	100.0
USA NMDP Japanese	21	0.0	100.0
USA NMDP Japanese	22	0.0	100.0
USA NMDP Japanese	23	0.0	100.0
USA NMDP Japanese	24	0.0	100.0
USA NMDP Japanese	25	0.0	100.0
USA NMDP Japanese	26	0.0	100.0
USA NMDP Japanese	27	0.0	100.0
USA NMDP Japanese	28	0.0	100.0
USA NMDP Japanese	29	0.0	100.0
USA NMDP Japanese	30	0.0	100.0
USA NMDP Japanese	31	0.0	100.0
USA NMDP Japanese	32	0.0	100.0
USA NMDP Japanese	33	0.0	100.0
USA NMDP Japanese	34	0.0	100.0
USA NMDP Japanese	35	0.0	100.0
USA NMDP Japanese	36	0.0	100.0
USA NMDP Japanese	37	0.0	100.0
USA NMDP Japanese	38	0.0	100.0
USA NMDP Japanese	39	0.0	100.0
USA NMDP Japanese	40	0.0	100.0
USA NMDP Japanese	41	0.0	100.0
USA NMDP Japanese	42	0.0	100.0
USA NMDP Japanese	43	0.0	100.0
USA NMDP Japanese	44	0.0	100.0
USA NMDP Japanese	45	0.0	100.0
USA NMDP Japanese	46	0.0	100.0
USA NMDP Japanese	47	0.0	100.0
USA NMDP Japanese	48	0.0	100.0
USA NMDP Japanese	49	0.0	100.0
USA NMDP Japanese	50	0.0	100.0
USA NMDP Japanese	51	0.0	100.0
USA NMDP Japanese	52	0.0	100.0
USA NMDP Japanese	53	0.0	100.0
USA NMDP Japanese	54	0.0	100.0
USA NMDP Japanese	55	0.0	100.0
USA NMDP Japanese	56	0.0	100.0
USA NMDP Japanese	57	0.0	100.0
USA NMDP Japanese	58	0.0	100.0
USA NMDP Japanese	59	0.0	100.0
USA NMDP Japanese	60	0.0	100.0
USA NMDP Japanese	61	0.0	100.0
USA NMDP Japanese	62	0.0	100.0
USA NMDP Japanese	63	0.0	100.0
USA NMDP Japanese	64	0.0	100.0
USA NMDP Japanese	65	0.0	100.0
USA NMDP Japanese	66	0.0	100.0
USA NMDP Japanese	67	0.0	100.0
USA NMDP Japanese	68	0.0	100.0
USA NMDP Japanese	69	0.0	100.0
USA NMDP Japanese	70	0.0	100.0
USA NMDP Japanese	71	0.0	100.0
USA NMDP Japanese	72	0.0	100.0
USA NMDP Japanese	73	0.0	100.0
USA NMDP Japanese	74	0.0	100.0
USA NMDP Japanese	75	0.0	100.0
USA NMDP Japanese	76	0.0	100.0
USA NMDP Japanese	77	0.0	100.0
USA NMDP Japanese	78	0.0	100.0
USA NMDP Japanese	79	0.0	100.0
USA NMDP Japanese	80	0.0	100.0
USA NMDP Japanese	81	0.0	100.0
USA NMDP Japanese	82	0.0	100.0
USA NMDP Japanese	83	0.0	100.0
USA NMDP Japanese	84	0.0	100.0
USA NMDP Japanese	85	0.0	100.0
