class I
population/area	coverage	average_hit	pc90
New Zealand Maori with Full Ancestry	100.0%	14771.02	6679.95
average	100.0%	14771.02	6679.95
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
New Zealand Maori with Full Ancestry	0	0.0	100.0
New Zealand Maori with Full Ancestry	1	0.0	100.0
New Zealand Maori with Full Ancestry	2	0.0	100.0
New Zealand Maori with Full Ancestry	3	0.0	100.0
New Zealand Maori with Full Ancestry	4	0.0	100.0
New Zealand Maori with Full Ancestry	5	0.0	100.0
New Zealand Maori with Full Ancestry	6	0.0	100.0
New Zealand Maori with Full Ancestry	7	0.0	100.0
New Zealand Maori with Full Ancestry	8	0.0	100.0
New Zealand Maori with Full Ancestry	9	0.0	100.0
New Zealand Maori with Full Ancestry	10	0.0	100.0
New Zealand Maori with Full Ancestry	11	0.0	100.0
New Zealand Maori with Full Ancestry	12	0.0	100.0
New Zealand Maori with Full Ancestry	13	0.0	100.0
New Zealand Maori with Full Ancestry	14	0.0	100.0
New Zealand Maori with Full Ancestry	15	0.0	100.0
New Zealand Maori with Full Ancestry	16	0.0	100.0
New Zealand Maori with Full Ancestry	17	0.0	100.0
New Zealand Maori with Full Ancestry	18	0.0	100.0
New Zealand Maori with Full Ancestry	19	0.0	100.0
New Zealand Maori with Full Ancestry	20	0.0	100.0
New Zealand Maori with Full Ancestry	21	0.0	100.0
New Zealand Maori with Full Ancestry	22	0.0	100.0
New Zealand Maori with Full Ancestry	23	0.0	100.0
New Zealand Maori with Full Ancestry	24	0.0	100.0
New Zealand Maori with Full Ancestry	25	0.0	100.0
New Zealand Maori with Full Ancestry	26	0.0	100.0
New Zealand Maori with Full Ancestry	27	0.0	100.0
New Zealand Maori with Full Ancestry	28	0.0	100.0
New Zealand Maori with Full Ancestry	29	0.0	100.0
New Zealand Maori with Full Ancestry	30	0.0	100.0
New Zealand Maori with Full Ancestry	31	0.0	100.0
New Zealand Maori with Full Ancestry	32	0.0	100.0
New Zealand Maori with Full Ancestry	33	0.0	100.0
New Zealand Maori with Full Ancestry	34	0.0	100.0
New Zealand Maori with Full Ancestry	35	0.0	100.0
New Zealand Maori with Full Ancestry	36	0.0	100.0
New Zealand Maori with Full Ancestry	37	0.0	100.0
New Zealand Maori with Full Ancestry	38	0.0	100.0
New Zealand Maori with Full Ancestry	39	0.0	100.0
New Zealand Maori with Full Ancestry	40	0.0	100.0
New Zealand Maori with Full Ancestry	41	0.0	100.0
New Zealand Maori with Full Ancestry	42	0.0	100.0
New Zealand Maori with Full Ancestry	43	0.0	100.0
New Zealand Maori with Full Ancestry	44	0.0	100.0
New Zealand Maori with Full Ancestry	45	0.0	100.0
New Zealand Maori with Full Ancestry	46	0.0	100.0
New Zealand Maori with Full Ancestry	47	0.0	100.0
New Zealand Maori with Full Ancestry	48	0.0	100.0
New Zealand Maori with Full Ancestry	49	0.0	100.0
New Zealand Maori with Full Ancestry	50	0.0	100.0
