class I
population/area	coverage	average_hit	pc90
Mexico Oaxaca Mixtec	100.0%	27153.88	14155.06
average	100.0%	27153.88	14155.06
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Mexico Oaxaca Mixtec	0	0.0	100.0
Mexico Oaxaca Mixtec	1	0.0	100.0
Mexico Oaxaca Mixtec	2	0.0	100.0
Mexico Oaxaca Mixtec	3	0.0	100.0
Mexico Oaxaca Mixtec	4	0.0	100.0
Mexico Oaxaca Mixtec	5	0.0	100.0
Mexico Oaxaca Mixtec	6	0.0	100.0
Mexico Oaxaca Mixtec	7	0.0	100.0
Mexico Oaxaca Mixtec	8	0.0	100.0
Mexico Oaxaca Mixtec	9	0.0	100.0
Mexico Oaxaca Mixtec	10	0.0	100.0
Mexico Oaxaca Mixtec	11	0.0	100.0
Mexico Oaxaca Mixtec	12	0.0	100.0
Mexico Oaxaca Mixtec	13	0.0	100.0
Mexico Oaxaca Mixtec	14	0.0	100.0
Mexico Oaxaca Mixtec	15	0.0	100.0
Mexico Oaxaca Mixtec	16	0.0	100.0
Mexico Oaxaca Mixtec	17	0.0	100.0
Mexico Oaxaca Mixtec	18	0.0	100.0
Mexico Oaxaca Mixtec	19	0.0	100.0
Mexico Oaxaca Mixtec	20	0.0	100.0
Mexico Oaxaca Mixtec	21	0.0	100.0
Mexico Oaxaca Mixtec	22	0.0	100.0
Mexico Oaxaca Mixtec	23	0.0	100.0
Mexico Oaxaca Mixtec	24	0.0	100.0
Mexico Oaxaca Mixtec	25	0.0	100.0
Mexico Oaxaca Mixtec	26	0.0	100.0
Mexico Oaxaca Mixtec	27	0.0	100.0
Mexico Oaxaca Mixtec	28	0.0	100.0
Mexico Oaxaca Mixtec	29	0.0	100.0
Mexico Oaxaca Mixtec	30	0.0	100.0
Mexico Oaxaca Mixtec	31	0.0	100.0
Mexico Oaxaca Mixtec	32	0.0	100.0
Mexico Oaxaca Mixtec	33	0.0	100.0
Mexico Oaxaca Mixtec	34	0.0	100.0
Mexico Oaxaca Mixtec	35	0.0	100.0
Mexico Oaxaca Mixtec	36	0.0	100.0
Mexico Oaxaca Mixtec	37	0.0	100.0
Mexico Oaxaca Mixtec	38	0.0	100.0
Mexico Oaxaca Mixtec	39	0.0	100.0
Mexico Oaxaca Mixtec	40	0.0	100.0
Mexico Oaxaca Mixtec	41	0.0	100.0
Mexico Oaxaca Mixtec	42	0.0	100.0
Mexico Oaxaca Mixtec	43	0.0	100.0
Mexico Oaxaca Mixtec	44	0.0	100.0
Mexico Oaxaca Mixtec	45	0.0	100.0
Mexico Oaxaca Mixtec	46	0.0	100.0
Mexico Oaxaca Mixtec	47	0.0	100.0
Mexico Oaxaca Mixtec	48	0.0	100.0
Mexico Oaxaca Mixtec	49	0.0	100.0
Mexico Oaxaca Mixtec	50	0.0	100.0
Mexico Oaxaca Mixtec	51	0.0	100.0
Mexico Oaxaca Mixtec	52	0.0	100.0
Mexico Oaxaca Mixtec	53	0.0	100.0
Mexico Oaxaca Mixtec	54	0.0	100.0
Mexico Oaxaca Mixtec	55	0.0	100.0
Mexico Oaxaca Mixtec	56	0.0	100.0
Mexico Oaxaca Mixtec	57	0.0	100.0
Mexico Oaxaca Mixtec	58	0.0	100.0
Mexico Oaxaca Mixtec	59	0.0	100.0
Mexico Oaxaca Mixtec	60	0.0	100.0
Mexico Oaxaca Mixtec	61	0.0	100.0
Mexico Oaxaca Mixtec	62	0.0	100.0
Mexico Oaxaca Mixtec	63	0.0	100.0
Mexico Oaxaca Mixtec	64	0.0	100.0
Mexico Oaxaca Mixtec	65	0.0	100.0
Mexico Oaxaca Mixtec	66	0.0	100.0
Mexico Oaxaca Mixtec	67	0.0	100.0
Mexico Oaxaca Mixtec	68	0.0	100.0
Mexico Oaxaca Mixtec	69	0.0	100.0
Mexico Oaxaca Mixtec	70	0.0	100.0
Mexico Oaxaca Mixtec	71	0.0	100.0
Mexico Oaxaca Mixtec	72	0.0	100.0
