class I
population/area	coverage	average_hit	pc90
Taiwan Hakka	100.0%	17639.0	9763.62
average	100.0%	17639.0	9763.62
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Hakka	0	0.0	100.0
Taiwan Hakka	1	0.0	100.0
Taiwan Hakka	2	0.0	100.0
Taiwan Hakka	3	0.0	100.0
Taiwan Hakka	4	0.0	100.0
Taiwan Hakka	5	0.0	100.0
Taiwan Hakka	6	0.0	100.0
Taiwan Hakka	7	0.0	100.0
Taiwan Hakka	8	0.0	100.0
Taiwan Hakka	9	0.0	100.0
Taiwan Hakka	10	0.0	100.0
Taiwan Hakka	11	0.0	100.0
Taiwan Hakka	12	0.0	100.0
Taiwan Hakka	13	0.0	100.0
Taiwan Hakka	14	0.0	100.0
Taiwan Hakka	15	0.0	100.0
Taiwan Hakka	16	0.0	100.0
Taiwan Hakka	17	0.0	100.0
Taiwan Hakka	18	0.0	100.0
Taiwan Hakka	19	0.0	100.0
Taiwan Hakka	20	0.0	100.0
Taiwan Hakka	21	0.0	100.0
Taiwan Hakka	22	0.0	100.0
Taiwan Hakka	23	0.0	100.0
Taiwan Hakka	24	0.0	100.0
Taiwan Hakka	25	0.0	100.0
Taiwan Hakka	26	0.0	100.0
Taiwan Hakka	27	0.0	100.0
Taiwan Hakka	28	0.0	100.0
Taiwan Hakka	29	0.0	100.0
Taiwan Hakka	30	0.0	100.0
Taiwan Hakka	31	0.0	100.0
Taiwan Hakka	32	0.0	100.0
Taiwan Hakka	33	0.0	100.0
Taiwan Hakka	34	0.0	100.0
Taiwan Hakka	35	0.0	100.0
Taiwan Hakka	36	0.0	100.0
Taiwan Hakka	37	0.0	100.0
Taiwan Hakka	38	0.0	100.0
Taiwan Hakka	39	0.0	100.0
Taiwan Hakka	40	0.0	100.0
Taiwan Hakka	41	0.0	100.0
Taiwan Hakka	42	0.0	100.0
Taiwan Hakka	43	0.0	100.0
Taiwan Hakka	44	0.0	100.0
Taiwan Hakka	45	0.0	100.0
Taiwan Hakka	46	0.0	100.0
Taiwan Hakka	47	0.0	100.0
Taiwan Hakka	48	0.0	100.0
Taiwan Hakka	49	0.0	100.0
Taiwan Hakka	50	0.0	100.0
Taiwan Hakka	51	0.0	100.0
Taiwan Hakka	52	0.0	100.0
Taiwan Hakka	53	0.0	100.0
Taiwan Hakka	54	0.0	100.0
Taiwan Hakka	55	0.0	100.0
Taiwan Hakka	56	0.0	100.0
Taiwan Hakka	57	0.0	100.0
Taiwan Hakka	58	0.0	100.0
Taiwan Hakka	59	0.0	100.0
Taiwan Hakka	60	0.0	100.0
Taiwan Hakka	61	0.0	100.0
Taiwan Hakka	62	0.0	100.0
Taiwan Hakka	63	0.0	100.0
Taiwan Hakka	64	0.0	100.0
Taiwan Hakka	65	0.0	100.0
Taiwan Hakka	66	0.0	100.0
Taiwan Hakka	67	0.0	100.0
Taiwan Hakka	68	0.0	100.0
Taiwan Hakka	69	0.0	100.0
Taiwan Hakka	70	0.0	100.0
Taiwan Hakka	71	0.0	100.0
Taiwan Hakka	72	0.0	100.0
Taiwan Hakka	73	0.0	100.0
Taiwan Hakka	74	0.0	100.0
Taiwan Hakka	75	0.0	100.0
Taiwan Hakka	76	0.0	100.0
Taiwan Hakka	77	0.0	100.0
Taiwan Hakka	78	0.0	100.0
Taiwan Hakka	79	0.0	100.0
Taiwan Hakka	80	0.0	100.0
Taiwan Hakka	81	0.0	100.0
Taiwan Hakka	82	0.0	100.0
Taiwan Hakka	83	0.0	100.0
