class I
population/area	coverage	average_hit	pc90
Mexico Hidalgo Mezquital Valley/ Otomi	100.0%	31804.89	18575.6
average	100.0%	31804.89	18575.6
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Mexico Hidalgo Mezquital Valley/ Otomi	0	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	1	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	2	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	3	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	4	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	5	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	6	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	7	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	8	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	9	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	10	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	11	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	12	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	13	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	14	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	15	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	16	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	17	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	18	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	19	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	20	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	21	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	22	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	23	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	24	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	25	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	26	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	27	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	28	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	29	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	30	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	31	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	32	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	33	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	34	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	35	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	36	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	37	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	38	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	39	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	40	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	41	0.0	100.0
Mexico Hidalgo Mezquital Valley/ Otomi	42	0.0	100.0
