class I
population/area	coverage	average_hit	pc90
Taiwan Paiwan	100.0%	27170.53	18450.89
average	100.0%	27170.53	18450.89
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Paiwan	0	0.0	100.0
Taiwan Paiwan	1	0.0	100.0
Taiwan Paiwan	2	0.0	100.0
Taiwan Paiwan	3	0.0	100.0
Taiwan Paiwan	4	0.0	100.0
Taiwan Paiwan	5	0.0	100.0
Taiwan Paiwan	6	0.0	100.0
Taiwan Paiwan	7	0.0	100.0
Taiwan Paiwan	8	0.0	100.0
Taiwan Paiwan	9	0.0	100.0
Taiwan Paiwan	10	0.0	100.0
Taiwan Paiwan	11	0.0	100.0
Taiwan Paiwan	12	0.0	100.0
Taiwan Paiwan	13	0.0	100.0
Taiwan Paiwan	14	0.0	100.0
Taiwan Paiwan	15	0.0	100.0
Taiwan Paiwan	16	0.0	100.0
Taiwan Paiwan	17	0.0	100.0
Taiwan Paiwan	18	0.0	100.0
Taiwan Paiwan	19	0.0	100.0
Taiwan Paiwan	20	0.0	100.0
Taiwan Paiwan	21	0.0	100.0
Taiwan Paiwan	22	0.0	100.0
Taiwan Paiwan	23	0.0	100.0
Taiwan Paiwan	24	0.0	100.0
Taiwan Paiwan	25	0.0	100.0
Taiwan Paiwan	26	0.0	100.0
Taiwan Paiwan	27	0.0	100.0
Taiwan Paiwan	28	0.0	100.0
Taiwan Paiwan	29	0.0	100.0
Taiwan Paiwan	30	0.0	100.0
Taiwan Paiwan	31	0.0	100.0
Taiwan Paiwan	32	0.0	100.0
Taiwan Paiwan	33	0.0	100.0
Taiwan Paiwan	34	0.0	100.0
Taiwan Paiwan	35	0.0	100.0
Taiwan Paiwan	36	0.0	100.0
Taiwan Paiwan	37	0.0	100.0
Taiwan Paiwan	38	0.0	100.0
Taiwan Paiwan	39	0.0	100.0
Taiwan Paiwan	40	0.0	100.0
Taiwan Paiwan	41	0.0	100.0
Taiwan Paiwan	42	0.0	100.0
Taiwan Paiwan	43	0.0	100.0
Taiwan Paiwan	44	0.0	100.0
Taiwan Paiwan	45	0.0	100.0
Taiwan Paiwan	46	0.0	100.0
Taiwan Paiwan	47	0.0	100.0
Taiwan Paiwan	48	0.0	100.0
Taiwan Paiwan	49	0.0	100.0
Taiwan Paiwan	50	0.0	100.0
Taiwan Paiwan	51	0.0	100.0
Taiwan Paiwan	52	0.0	100.0
Taiwan Paiwan	53	0.0	100.0
Taiwan Paiwan	54	0.0	100.0
Taiwan Paiwan	55	0.0	100.0
Taiwan Paiwan	56	0.0	100.0
Taiwan Paiwan	57	0.0	100.0
Taiwan Paiwan	58	0.0	100.0
Taiwan Paiwan	59	0.0	100.0
Taiwan Paiwan	60	0.0	100.0
Taiwan Paiwan	61	0.0	100.0
Taiwan Paiwan	62	0.0	100.0
Taiwan Paiwan	63	0.0	100.0
Taiwan Paiwan	64	0.0	100.0
Taiwan Paiwan	65	0.0	100.0
Taiwan Paiwan	66	0.0	100.0
Taiwan Paiwan	67	0.0	100.0
Taiwan Paiwan	68	0.0	100.0
Taiwan Paiwan	69	0.0	100.0
Taiwan Paiwan	70	0.0	100.0
Taiwan Paiwan	71	0.0	100.0
Taiwan Paiwan	72	0.0	100.0
Taiwan Paiwan	73	0.0	100.0
Taiwan Paiwan	74	0.0	100.0
Taiwan Paiwan	75	0.0	100.0
Taiwan Paiwan	76	0.0	100.0
Taiwan Paiwan	77	0.0	100.0
Taiwan Paiwan	78	0.0	100.0
Taiwan Paiwan	79	0.0	100.0
Taiwan Paiwan	80	0.0	100.0
Taiwan Paiwan	81	0.0	100.0
Taiwan Paiwan	82	0.0	100.0
Taiwan Paiwan	83	0.0	100.0
Taiwan Paiwan	84	0.0	100.0
Taiwan Paiwan	85	0.0	100.0
Taiwan Paiwan	86	0.0	100.0
Taiwan Paiwan	87	0.0	100.0
Taiwan Paiwan	88	0.0	100.0
Taiwan Paiwan	89	0.0	100.0
Taiwan Paiwan	90	0.0	100.0
Taiwan Paiwan	91	0.0	100.0
Taiwan Paiwan	92	0.0	100.0
Taiwan Paiwan	93	0.0	100.0
Taiwan Paiwan	94	0.0	100.0
Taiwan Paiwan	95	0.0	100.0
Taiwan Paiwan	96	0.0	100.0
Taiwan Paiwan	97	0.0	100.0
Taiwan Paiwan	98	0.0	100.0
Taiwan Paiwan	99	0.0	100.0
Taiwan Paiwan	100	0.0	100.0
Taiwan Paiwan	101	0.0	100.0
Taiwan Paiwan	102	0.0	100.0
Taiwan Paiwan	103	0.0	100.0
Taiwan Paiwan	104	0.0	100.0
Taiwan Paiwan	105	0.0	100.0
Taiwan Paiwan	106	0.0	100.0
Taiwan Paiwan	107	0.0	100.0
Taiwan Paiwan	108	0.0	100.0
Taiwan Paiwan	109	0.0	100.0
Taiwan Paiwan	110	0.0	100.0
Taiwan Paiwan	111	0.0	100.0
Taiwan Paiwan	112	0.0	100.0
Taiwan Paiwan	113	0.0	100.0
Taiwan Paiwan	114	0.0	100.0
Taiwan Paiwan	115	0.0	100.0
Taiwan Paiwan	116	0.0	100.0
Taiwan Paiwan	117	0.0	100.0
Taiwan Paiwan	118	0.0	100.0
Taiwan Paiwan	119	0.0	100.0
Taiwan Paiwan	120	0.0	100.0
Taiwan Paiwan	121	0.0	100.0
Taiwan Paiwan	122	0.0	100.0
Taiwan Paiwan	123	0.0	100.0
Taiwan Paiwan	124	0.0	100.0
Taiwan Paiwan	125	0.0	100.0
Taiwan Paiwan	126	0.0	100.0
Taiwan Paiwan	127	0.0	100.0
Taiwan Paiwan	128	0.0	100.0
Taiwan Paiwan	129	0.0	100.0
Taiwan Paiwan	130	0.0	100.0
Taiwan Paiwan	131	0.0	100.0
Taiwan Paiwan	132	0.0	100.0
Taiwan Paiwan	133	0.0	100.0
Taiwan Paiwan	134	0.0	100.0
Taiwan Paiwan	135	0.0	100.0
Taiwan Paiwan	136	0.0	100.0
Taiwan Paiwan	137	0.0	100.0
Taiwan Paiwan	138	0.0	100.0
Taiwan Paiwan	139	0.0	100.0
Taiwan Paiwan	140	0.0	100.0
Taiwan Paiwan	141	0.0	100.0
Taiwan Paiwan	142	0.0	100.0
Taiwan Paiwan	143	0.0	100.0
Taiwan Paiwan	144	0.0	100.0
Taiwan Paiwan	145	0.0	100.0
Taiwan Paiwan	146	0.0	100.0
Taiwan Paiwan	147	0.0	100.0
Taiwan Paiwan	148	0.0	100.0
Taiwan Paiwan	149	0.0	100.0
Taiwan Paiwan	150	0.0	100.0
