class I
population/area	coverage	average_hit	pc90
Mali Bandiagara	100.0%	25252.79	14983.43
average	100.0%	25252.79	14983.43
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Mali Bandiagara	0	0.0	100.0
Mali Bandiagara	1	0.0	100.0
Mali Bandiagara	2	0.0	100.0
Mali Bandiagara	3	0.0	100.0
Mali Bandiagara	4	0.0	100.0
Mali Bandiagara	5	0.0	100.0
Mali Bandiagara	6	0.0	100.0
Mali Bandiagara	7	0.0	100.0
Mali Bandiagara	8	0.0	100.0
Mali Bandiagara	9	0.0	100.0
Mali Bandiagara	10	0.0	100.0
Mali Bandiagara	11	0.0	100.0
Mali Bandiagara	12	0.0	100.0
Mali Bandiagara	13	0.0	100.0
Mali Bandiagara	14	0.0	100.0
Mali Bandiagara	15	0.0	100.0
Mali Bandiagara	16	0.0	100.0
Mali Bandiagara	17	0.0	100.0
Mali Bandiagara	18	0.0	100.0
Mali Bandiagara	19	0.0	100.0
Mali Bandiagara	20	0.0	100.0
Mali Bandiagara	21	0.0	100.0
Mali Bandiagara	22	0.0	100.0
Mali Bandiagara	23	0.0	100.0
Mali Bandiagara	24	0.0	100.0
Mali Bandiagara	25	0.0	100.0
Mali Bandiagara	26	0.0	100.0
Mali Bandiagara	27	0.0	100.0
Mali Bandiagara	28	0.0	100.0
Mali Bandiagara	29	0.0	100.0
Mali Bandiagara	30	0.0	100.0
Mali Bandiagara	31	0.0	100.0
Mali Bandiagara	32	0.0	100.0
Mali Bandiagara	33	0.0	100.0
Mali Bandiagara	34	0.0	100.0
Mali Bandiagara	35	0.0	100.0
Mali Bandiagara	36	0.0	100.0
Mali Bandiagara	37	0.0	100.0
Mali Bandiagara	38	0.0	100.0
Mali Bandiagara	39	0.0	100.0
Mali Bandiagara	40	0.0	100.0
Mali Bandiagara	41	0.0	100.0
Mali Bandiagara	42	0.0	100.0
Mali Bandiagara	43	0.0	100.0
Mali Bandiagara	44	0.0	100.0
Mali Bandiagara	45	0.0	100.0
Mali Bandiagara	46	0.0	100.0
Mali Bandiagara	47	0.0	100.0
Mali Bandiagara	48	0.0	100.0
Mali Bandiagara	49	0.0	100.0
Mali Bandiagara	50	0.0	100.0
Mali Bandiagara	51	0.0	100.0
Mali Bandiagara	52	0.0	100.0
Mali Bandiagara	53	0.0	100.0
Mali Bandiagara	54	0.0	100.0
Mali Bandiagara	55	0.0	100.0
Mali Bandiagara	56	0.0	100.0
Mali Bandiagara	57	0.0	100.0
Mali Bandiagara	58	0.0	100.0
Mali Bandiagara	59	0.0	100.0
Mali Bandiagara	60	0.0	100.0
Mali Bandiagara	61	0.0	100.0
Mali Bandiagara	62	0.0	100.0
Mali Bandiagara	63	0.0	100.0
Mali Bandiagara	64	0.0	100.0
Mali Bandiagara	65	0.0	100.0
Mali Bandiagara	66	0.0	100.0
